record_name,measured_gwl,caution_flag,latitude,longitude,nztm_y,nztm_x,model_gwl,measured_minus_model,type,type_as_number
CPT_105,2.0,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.520617931,172.662122781,5181313.384829119,1572693.8315737476,0.2995471954345703,1.7004528045654297,cpt,1
CPT_106,3.0,at_least_one_adopted_value_was_preceded_by_the_word_assumed + several_possible_values_were_extracted_but_only_the_one_closest_to_the_model_value_was_kept + ,-43.520479627,172.667670316,5181330.550347673,1573142.1047314997,0.3538670539855957,2.6461329460144043,cpt,1
CPT_107,1.2,at_least_one_adopted_value_was_preceded_by_the_word_assumed + several_possible_values_were_extracted_but_only_the_one_closest_to_the_model_value_was_kept + ,-43.520187405,172.670248059,5181363.83295767,1573350.3017466934,0.4027018547058105,0.7972981452941894,cpt,1
CPT_108,0.4,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.51971213,172.664287853,5181414.690034132,1572868.4000648526,0.3060336112976074,0.0939663887023926,cpt,1
CPT_109,2.9,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.5182087,172.664832049,5181581.836045442,1572911.7083700842,0.3429150581359863,2.5570849418640136,cpt,1
CPT_110,2.3,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.518435817,172.668040755,5181557.652375918,1573171.136945733,0.389864444732666,1.9101355552673336,cpt,1
CPT_111,1.3,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.518207085,172.670916514,5181583.9782415405,1573403.4547379648,0.4352288246154785,0.8647711753845215,cpt,1
CPT_112,1.5,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.516799578,172.664535419,5181738.234390183,1572887.1037727853,0.3429150581359863,1.1570849418640137,cpt,1
CPT_113,2.0,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.516745367,172.667753127,5181745.298411637,1573147.1412737598,0.389864444732666,1.610135555267334,cpt,1
CPT_114,2.5,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.5165348,172.669960593,5181769.393675171,1573325.4604554323,0.4509515762329101,2.04904842376709,cpt,1
CPT_115,1.2,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.516591921,172.671963521,5181763.690036051,1573487.3667804184,0.4509515762329101,0.7490484237670898,cpt,1
CPT_116,1.5,at_least_one_adopted_value_was_preceded_by_the_word_assumed + several_possible_values_were_extracted_but_only_the_one_closest_to_the_model_value_was_kept + ,-43.515665151,172.665689761,5181864.597590823,1572979.893806024,0.3837170600891113,1.116282939910889,cpt,1
CPT_117,1.3,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.515421593,172.67065377,5181893.246701151,1573380.995308292,0.4509515762329101,0.8490484237670899,cpt,1
CPT_118,1.3,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.514547017,172.668531648,5181989.69469618,1573209.0903948678,0.4163446426391601,0.8836553573608399,cpt,1
CPT_119,1.1,at_least_one_adopted_value_was_preceded_by_the_word_assumed + several_possible_values_were_extracted_but_only_the_one_closest_to_the_model_value_was_kept + ,-43.514725843,172.666872925,5181969.299187251,1573075.1036339635,0.4163446426391601,0.6836553573608399,cpt,1
CPT_120,1.4,at_least_one_adopted_value_was_preceded_by_the_word_assumed + several_possible_values_were_extracted_but_only_the_one_closest_to_the_model_value_was_kept + ,-43.514554426,172.667698653,5181988.603338449,1573141.7668695406,0.4163446426391601,0.9836553573608398,cpt,1
CPT_121,1.6,at_least_one_adopted_value_was_preceded_by_the_word_assumed + several_possible_values_were_extracted_but_only_the_one_closest_to_the_model_value_was_kept + ,-43.51458545,172.669532963,5181985.748281455,1573290.0386187176,0.4509515762329101,1.14904842376709,cpt,1
